grafana-1  | logger=settings t=2025-06-25T22:04:34.585226735Z level=info msg="Starting Grafana" version=10.0.1 commit=5a30620b85 branch=HEAD compiled=2023-06-20T08:03:23Z
grafana-1  | logger=settings t=2025-06-25T22:04:34.585475384Z level=warn msg="\"sentry\" frontend logging provider is deprecated and will be removed in the next major version. Use \"grafana\" provider instead."
grafana-1  | logger=settings t=2025-06-25T22:04:34.585496528Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana-1  | logger=settings t=2025-06-25T22:04:34.585499473Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana-1  | logger=settings t=2025-06-25T22:04:34.585501142Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585502782Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585504129Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585505501Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585507909Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585509509Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585511123Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana-1  | logger=settings t=2025-06-25T22:04:34.58551248Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585514737Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585516285Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
grafana-1  | logger=settings t=2025-06-25T22:04:34.58551846Z level=info msg="Config overridden from Environment variable" var="GF_LOG_LEVEL=debug"
grafana-1  | logger=settings t=2025-06-25T22:04:34.585520594Z level=info msg=Target target=[all]
grafana-1  | logger=settings t=2025-06-25T22:04:34.585526527Z level=info msg="Path Home" path=/usr/share/grafana
grafana-1  | logger=settings t=2025-06-25T22:04:34.585541794Z level=info msg="Path Data" path=/var/lib/grafana
grafana-1  | logger=settings t=2025-06-25T22:04:34.585563058Z level=info msg="Path Logs" path=/var/log/grafana
grafana-1  | logger=settings t=2025-06-25T22:04:34.585565493Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana-1  | logger=settings t=2025-06-25T22:04:34.585567351Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana-1  | logger=settings t=2025-06-25T22:04:34.585569415Z level=info msg="App mode production"
grafana-1  | logger=sqlstore t=2025-06-25T22:04:34.585732979Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana-1  | logger=migrator t=2025-06-25T22:04:34.598514616Z level=info msg="Starting DB migrations"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60181655Z level=debug msg="Skipping migration: Already executed" id="create migration_log table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601860632Z level=debug msg="Skipping migration: Already executed" id="create user table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601864019Z level=debug msg="Skipping migration: Already executed" id="add unique index user.login"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601865757Z level=debug msg="Skipping migration: Already executed" id="add unique index user.email"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601867379Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_user_login - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601868821Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_user_email - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601870691Z level=debug msg="Skipping migration: Already executed" id="Rename table user to user_v1 - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601872957Z level=debug msg="Skipping migration: Already executed" id="create user table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601874405Z level=debug msg="Skipping migration: Already executed" id="create index UQE_user_login - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601875676Z level=debug msg="Skipping migration: Already executed" id="create index UQE_user_email - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601877499Z level=debug msg="Skipping migration: Already executed" id="copy data_source v1 to v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601879148Z level=debug msg="Skipping migration: Already executed" id="Drop old table user_v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601880917Z level=debug msg="Skipping migration: Already executed" id="Add column help_flags1 to user table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60188327Z level=debug msg="Skipping migration: Already executed" id="Update user table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601884934Z level=debug msg="Skipping migration: Already executed" id="Add last_seen_at column to user"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601886803Z level=debug msg="Skipping migration: Already executed" id="Add missing user data"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601888737Z level=debug msg="Skipping migration: Already executed" id="Add is_disabled column to user"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601890053Z level=debug msg="Skipping migration: Already executed" id="Add index user.login/user.email"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601891634Z level=debug msg="Skipping migration: Already executed" id="Add is_service_account column to user"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601893368Z level=debug msg="Skipping migration: Already executed" id="Update is_service_account column to nullable"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601894938Z level=debug msg="Skipping migration: Already executed" id="create temp user table v1-7"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601896264Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_email - v1-7"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601897612Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_org_id - v1-7"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601898934Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_code - v1-7"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601900239Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_status - v1-7"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601901787Z level=debug msg="Skipping migration: Already executed" id="Update temp_user table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60190315Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_temp_user_email - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601904494Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_temp_user_org_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601905866Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_temp_user_code - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601909384Z level=debug msg="Skipping migration: Already executed" id="drop index IDX_temp_user_status - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601913099Z level=debug msg="Skipping migration: Already executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601914684Z level=debug msg="Skipping migration: Already executed" id="create temp_user v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60191615Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_email - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601921985Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_org_id - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601923516Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_code - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601924854Z level=debug msg="Skipping migration: Already executed" id="create index IDX_temp_user_status - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601926313Z level=debug msg="Skipping migration: Already executed" id="copy temp_user v1 to v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601927685Z level=debug msg="Skipping migration: Already executed" id="drop temp_user_tmp_qwerty"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601930895Z level=debug msg="Skipping migration: Already executed" id="Set created for temp users that will otherwise prematurely expire"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601932439Z level=debug msg="Skipping migration: Already executed" id="create star table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601933983Z level=debug msg="Skipping migration: Already executed" id="add unique index star.user_id_dashboard_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60193541Z level=debug msg="Skipping migration: Already executed" id="create org table v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601936871Z level=debug msg="Skipping migration: Already executed" id="create index UQE_org_name - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601939703Z level=debug msg="Skipping migration: Already executed" id="create org_user table v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601941093Z level=debug msg="Skipping migration: Already executed" id="create index IDX_org_user_org_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60194254Z level=debug msg="Skipping migration: Already executed" id="create index UQE_org_user_org_id_user_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601943975Z level=debug msg="Skipping migration: Already executed" id="create index IDX_org_user_user_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601945548Z level=debug msg="Skipping migration: Already executed" id="Update org table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601947087Z level=debug msg="Skipping migration: Already executed" id="Update org_user table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601949396Z level=debug msg="Skipping migration: Already executed" id="Migrate all Read Only Viewers to Viewers"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601951202Z level=debug msg="Skipping migration: Already executed" id="create dashboard table"
